forceGain,velDamp,E,Z,peakK,highSlope,highR2,inSlope,inR2
0.25,0.9,0.00781,0.0003,1,-1.698,0.961,-2.006,0.982
0.5,0.9,0.02343,0.0010,1,-1.551,0.956,-1.872,0.981
1,0.9,0.04530,0.0032,1,-1.313,0.935,-1.648,0.968
2,0.9,0.09169,0.0114,9,-1.010,0.889,-1.055,0.941
3.5,0.9,0.16851,0.0321,9,-0.785,0.824,-0.735,0.929
5,0.9,0.23852,0.0605,9,-0.615,0.770,-0.537,0.927
0.25,0.95,0.02264,0.0004,1,-1.958,0.965,-2.288,0.984
0.5,0.95,0.04085,0.0013,1,-1.699,0.957,-2.053,0.983
1,0.95,0.07269,0.0041,9,-1.489,0.938,-1.781,0.977
2,0.95,0.16067,0.0142,9,-1.216,0.922,-1.365,0.967
3.5,0.95,0.25654,0.0375,8,-0.986,0.897,-1.068,0.957
5,0.95,0.35878,0.0692,9,-0.815,0.864,-0.845,0.950
0.25,0.98,0.04677,0.0006,1,-2.162,0.957,-2.565,0.978
0.5,0.98,0.06905,0.0017,9,-1.974,0.946,-2.478,0.985
1,0.98,0.13460,0.0054,9,-1.693,0.938,-2.073,0.977
2,0.98,0.25710,0.0177,8,-1.423,0.936,-1.700,0.969
3.5,0.98,0.42271,0.0437,8,-1.177,0.913,-1.344,0.955
5,0.98,0.59012,0.0784,9,-1.020,0.885,-1.125,0.949
0.25,0.99,0.07786,0.0008,1,-2.280,0.949,-2.755,0.976
0.5,0.99,0.12539,0.0023,9,-2.112,0.938,-2.674,0.982
1,0.99,0.19458,0.0062,9,-1.772,0.939,-2.210,0.975
2,0.99,0.35975,0.0191,8,-1.465,0.931,-1.716,0.965
3.5,0.99,0.53646,0.0458,6,-1.258,0.916,-1.476,0.957
5,0.99,0.79135,0.0801,6,-1.116,0.883,-1.305,0.943
0.25,0.995,0.10371,0.0011,8,-2.449,0.939,-3.165,0.985
0.5,0.995,0.17429,0.0027,8,-2.153,0.934,-2.749,0.978
1,0.995,0.32423,0.0069,6,-1.826,0.933,-2.259,0.972
2,0.995,0.50269,0.0201,9,-1.522,0.927,-1.769,0.961
3.5,0.995,0.76167,0.0475,6,-1.318,0.910,-1.556,0.951
5,0.995,1.27438,0.0833,5,-1.196,0.878,-1.421,0.942
0.25,0.999,0.20128,0.0014,9,-2.484,0.923,-3.189,0.974
0.5,0.999,0.37084,0.0033,6,-2.210,0.927,-2.804,0.975
1,0.999,0.58358,0.0078,4,-1.910,0.933,-2.400,0.972
2,0.999,0.84314,0.0211,6,-1.615,0.922,-1.920,0.960
3.5,0.999,1.55212,0.0503,6,-1.405,0.900,-1.635,0.953
5,0.999,2.66515,0.0872,6,-1.267,0.864,-1.486,0.939