cohesion,dyeDecay,class,contrast,coverage,euler,eulerDensity,lcc,lengthScale,mean
0,0.5,spots,0.350,0.291,6426,435.79,0.013,0.4992,1.0808
0,0.7,spots,0.268,0.292,5304,359.70,0.015,0.4977,2.5181
0,0.85,spots,0.181,0.297,4056,275.07,0.030,0.0000,6.1054
0,0.95,dispersed,0.091,0.302,2604,176.60,0.343,0.0000,20.4212
0,0.99,dispersed,0.032,0.311,1112,75.41,0.396,0.0000,106.0265
0.1,0.5,spots,1.858,0.177,241,16.34,0.166,0.4245,1.0199
0.1,0.7,spots,1.682,0.193,140,9.49,0.154,0.1855,2.3848
0.1,0.85,spots,1.221,0.228,146,9.90,0.208,0.2217,5.7996
0.1,0.95,spots,0.997,0.245,123,8.34,0.211,0.3225,19.7391
0.1,0.99,network,0.482,0.333,73,4.95,0.362,0.0000,103.5131
0.2,0.5,spots,1.725,0.182,380,25.77,0.198,0.4556,1.0024
0.2,0.7,network,1.410,0.223,178,12.07,0.408,0.1656,2.3889
0.2,0.85,spots,1.220,0.212,165,11.19,0.157,0.2363,5.9117
0.2,0.95,spots,0.911,0.248,134,9.09,0.196,0.0000,19.9268
0.2,0.99,spots,0.311,0.316,75,5.09,0.138,0.0000,106.0614
0.3,0.5,spots,1.685,0.186,332,22.52,0.294,0.2232,1.0109
0.3,0.7,spots,1.347,0.212,300,20.35,0.236,0.1568,2.3892
0.3,0.85,spots,1.221,0.210,228,15.46,0.131,0.3308,5.9501
0.3,0.95,spots,0.496,0.276,312,21.16,0.128,0.0000,20.4007
0.3,0.99,spots,0.262,0.337,80,5.43,0.133,0.0000,106.6524
0.4,0.5,network,1.552,0.200,365,24.75,0.450,0.3927,1.0088
0.4,0.7,spots,1.254,0.216,290,19.67,0.121,0.2444,2.4262
0.4,0.85,spots,1.188,0.210,189,12.82,0.166,0.2959,5.9706
0.4,0.95,spots,0.366,0.286,509,34.52,0.130,0.0000,20.5088
0.4,0.99,spots,0.231,0.342,59,4.00,0.133,0.0000,106.9292
0.5,0.5,spots,1.385,0.212,465,31.53,0.183,0.1577,1.0149
0.5,0.7,spots,1.280,0.207,335,22.72,0.160,0.2898,2.4428
0.5,0.85,spots,1.061,0.222,283,19.19,0.201,0.0000,6.0063
0.5,0.95,spots,0.298,0.301,512,34.72,0.133,0.0000,20.5672
0.5,0.99,spots,0.211,0.347,79,5.36,0.132,0.0000,106.9617