axis,value,E,Z,peakK,highSlope,highR2,inLo,inHi,inSlope,inR2
baseline,,0.38261,0.0151,9,-1.562,0.929,27,255,-1.826,0.964
velDamp,0.9,0.08247,0.0085,9,-1.075,0.893,27,255,-1.150,0.943
velDamp,0.95,0.12441,0.0103,9,-1.273,0.920,27,255,-1.442,0.962
velDamp,0.98,0.23675,0.0130,8,-1.469,0.934,24,255,-1.753,0.969
velDamp,0.99,0.32255,0.0149,8,-1.575,0.934,24,255,-1.887,0.968
velDamp,0.999,0.79500,0.0166,4,-1.680,0.931,12,255,-2.064,0.966
forceGain,0.1,0.04010,0.0003,1,-2.630,0.958,3,255,-3.078,0.976
forceGain,0.5,0.15704,0.0024,9,-2.112,0.934,27,255,-2.680,0.978
forceGain,1,0.24654,0.0066,8,-1.791,0.932,24,255,-2.192,0.971
forceGain,2.5,0.50839,0.0274,6,-1.430,0.925,18,255,-1.689,0.961
forceGain,5,1.10255,0.0816,5,-1.177,0.877,15,255,-1.415,0.936
sensorDist,0.002,0.31386,0.0185,1,-1.509,0.989,3,255,-1.529,0.982
sensorDist,0.006,0.29035,0.0256,6,-1.829,0.959,18,255,-2.154,0.941
sensorDist,0.012,0.30359,0.0239,17,-1.936,0.942,51,255,-2.409,0.977
sensorDist,0.03,0.39302,0.0183,13,-1.726,0.926,39,255,-1.997,0.968
sensorDist,0.08,0.40961,0.0144,6,-1.537,0.935,18,255,-1.832,0.968
swim,0,0.00000,0.0000,17,-9.802,0.764,51,255,-16.566,0.831
swim,0.1,0.51387,0.0233,9,-1.485,0.919,27,255,-1.719,0.958
swim,0.2,1.34573,0.0698,7,-1.271,0.867,21,255,-1.475,0.930
swim,0.35,3.28252,0.1801,6,-1.114,0.796,18,255,-1.306,0.879
swim,0.5,5.59043,0.3358,6,-0.982,0.738,18,255,-1.159,0.843
cohesion,0,0.46497,0.0164,9,-1.638,0.926,27,255,-1.925,0.964
cohesion,0.05,0.42812,0.0159,8,-1.622,0.931,24,255,-1.925,0.968
cohesion,0.15,0.36240,0.0145,9,-1.516,0.928,27,255,-1.753,0.962
cohesion,0.3,0.29394,0.0136,9,-1.439,0.932,27,255,-1.662,0.962
cohesion,0.5,0.25024,0.0127,7,-1.376,0.931,21,255,-1.597,0.957
fluidPull,0,0.72298,0.0217,1,-1.780,0.966,3,255,-2.072,0.986
fluidPull,1,0.64884,0.0230,8,-1.842,0.981,24,255,-2.047,0.992
fluidPull,2,0.52996,0.0211,9,-1.795,0.974,27,255,-2.038,0.994
fluidPull,5,0.40575,0.0156,4,-1.639,0.942,12,255,-2.061,0.985
fluidPull,10,0.39864,0.0148,9,-1.527,0.932,27,255,-1.736,0.965
senseScale,1,0.63625,0.0214,6,-1.848,0.952,18,255,-2.262,0.983
senseScale,5,0.30705,0.0145,6,-1.552,0.936,18,255,-1.879,0.968
senseScale,10,0.23109,0.0127,6,-1.428,0.945,18,255,-1.708,0.973
senseScale,15,0.19097,0.0123,5,-1.360,0.951,15,255,-1.670,0.974
senseScale,20,0.15876,0.0119,7,-1.313,0.958,21,255,-1.602,0.979
speedGain,0,0.39142,0.0155,8,-1.592,0.931,24,255,-1.893,0.965
speedGain,0.5,0.37062,0.0188,9,-1.446,0.922,27,255,-1.671,0.958
speedGain,1,0.36096,0.0213,9,-1.401,0.916,27,255,-1.584,0.957
speedGain,1.5,0.40340,0.0218,9,-1.360,0.913,27,255,-1.525,0.955
speedGain,2,0.43154,0.0225,6,-1.393,0.915,18,255,-1.627,0.954
brain,0,0.37221,0.0150,6,-1.583,0.932,18,255,-1.903,0.967
brain,1,0.36913,0.0148,9,-1.544,0.921,27,255,-1.782,0.958
brain,2,0.24621,0.0150,6,-1.594,0.939,18,255,-2.039,0.970